state,county,candidate,party,total_votes,won
Florida,Hernando County,Rocky De La Fuente,ALI,62,FALSE
Florida,Hernando County,Gloria La Riva,PSL,44,FALSE
Florida,Hernando County,Don Blankenship,CST,40,FALSE
Florida,Hernando County, Write-ins,WRI,8,FALSE
Florida,Highlands County,Donald Trump,REP,34873,TRUE
Florida,Highlands County,Joe Biden,DEM,16938,FALSE
Florida,Highlands County,Jo Jorgensen,LIB,223,FALSE
Florida,Highlands County,Howie Hawkins,GRN,53,FALSE
Florida,Highlands County,Don Blankenship,CST,28,FALSE
Florida,Highlands County,Rocky De La Fuente,ALI,28,FALSE
Florida,Highlands County,Gloria La Riva,PSL,24,FALSE
Florida,Highlands County, Write-ins,WRI,3,FALSE
Florida,Hillsborough County,Joe Biden,DEM,376367,TRUE
Florida,Hillsborough County,Donald Trump,REP,327398,FALSE
Florida,Hillsborough County,Jo Jorgensen,LIB,5665,FALSE
Florida,Hillsborough County,Howie Hawkins,GRN,1187,FALSE
Florida,Hillsborough County,Rocky De La Fuente,ALI,574,FALSE
Florida,Hillsborough County,Gloria La Riva,PSL,529,FALSE
Florida,Hillsborough County,Don Blankenship,CST,270,FALSE
Florida,Hillsborough County, Write-ins,WRI,73,FALSE
Florida,Holmes County,Donald Trump,REP,8080,TRUE
Florida,Holmes County,Joe Biden,DEM,924,FALSE
Florida,Holmes County,Jo Jorgensen,LIB,48,FALSE
Florida,Holmes County,Howie Hawkins,GRN,9,FALSE
Florida,Holmes County,Don Blankenship,CST,4,FALSE
Florida,Holmes County,Rocky De La Fuente,ALI,2,FALSE
Florida,Holmes County,Gloria La Riva,PSL,1,FALSE
Florida,Indian River County,Donald Trump,REP,58872,TRUE
Florida,Indian River County,Joe Biden,DEM,37844,FALSE
Florida,Indian River County,Jo Jorgensen,LIB,534,FALSE
Florida,Indian River County,Howie Hawkins,GRN,117,FALSE
Florida,Indian River County,Rocky De La Fuente,ALI,43,FALSE
Florida,Indian River County,Don Blankenship,CST,38,FALSE
Florida,Indian River County,Gloria La Riva,PSL,33,FALSE
Florida,Indian River County, Write-ins,WRI,3,FALSE
Florida,Jackson County,Donald Trump,REP,15488,TRUE
Florida,Jackson County,Joe Biden,DEM,6766,FALSE
Florida,Jackson County,Jo Jorgensen,LIB,116,FALSE
Florida,Jackson County,Rocky De La Fuente,ALI,13,FALSE
Florida,Jackson County,Howie Hawkins,GRN,13,FALSE
Florida,Jackson County,Gloria La Riva,PSL,13,FALSE
Florida,Jackson County,Don Blankenship,CST,5,FALSE
Florida,Jackson County, Write-ins,WRI,5,FALSE
Florida,Jefferson County,Donald Trump,REP,4479,TRUE
Florida,Jefferson County,Joe Biden,DEM,3897,FALSE
Florida,Jefferson County,Jo Jorgensen,LIB,46,FALSE
Florida,Jefferson County,Howie Hawkins,GRN,13,FALSE
Florida,Jefferson County,Don Blankenship,CST,5,FALSE
Florida,Jefferson County,Rocky De La Fuente,ALI,4,FALSE
Florida,Jefferson County,Gloria La Riva,PSL,4,FALSE
Florida,Jefferson County, Write-ins,WRI,3,FALSE
Florida,Lafayette County,Donald Trump,REP,3128,TRUE
Florida,Lafayette County,Joe Biden,DEM,510,FALSE
Florida,Lafayette County,Jo Jorgensen,LIB,14,FALSE
Florida,Lafayette County,Don Blankenship,CST,2,FALSE
Florida,Lafayette County,Howie Hawkins,GRN,2,FALSE
Florida,Lafayette County,Rocky De La Fuente,ALI,1,FALSE
Florida,Lafayette County,Gloria La Riva,PSL,1,FALSE
Florida,Lake County,Donald Trump,REP,125859,TRUE
Florida,Lake County,Joe Biden,DEM,83505,FALSE
Florida,Lake County,Jo Jorgensen,LIB,1385,FALSE
Florida,Lake County,Howie Hawkins,GRN,254,FALSE
Florida,Lake County,Rocky De La Fuente,ALI,120,FALSE
Florida,Lake County,Gloria La Riva,PSL,96,FALSE
Florida,Lake County,Don Blankenship,CST,79,FALSE
Florida,Lake County, Write-ins,WRI,16,FALSE
Florida,Lee County,Donald Trump,REP,233247,TRUE
Florida,Lee County,Joe Biden,DEM,157695,FALSE
Florida,Lee County,Jo Jorgensen,LIB,2016,FALSE
Florida,Lee County,Howie Hawkins,GRN,440,FALSE
Florida,Lee County,Rocky De La Fuente,ALI,187,FALSE
Florida,Lee County,Gloria La Riva,PSL,176,FALSE
Florida,Lee County,Don Blankenship,CST,121,FALSE
Florida,Lee County, Write-ins,WRI,17,FALSE
Florida,Leon County,Joe Biden,DEM,103517,TRUE
Florida,Leon County,Donald Trump,REP,57453,FALSE
Florida,Leon County,Jo Jorgensen,LIB,1344,FALSE
Florida,Leon County,Howie Hawkins,GRN,271,FALSE
Florida,Leon County,Gloria La Riva,PSL,122,FALSE
Florida,Leon County,Rocky De La Fuente,ALI,98,FALSE
Florida,Leon County,Don Blankenship,CST,71,FALSE
Florida,Leon County, Write-ins,WRI,53,FALSE
Florida,Levy County,Donald Trump,REP,16749,TRUE
Florida,Levy County,Joe Biden,DEM,6205,FALSE
Florida,Levy County,Jo Jorgensen,LIB,131,FALSE
Florida,Levy County,Howie Hawkins,GRN,25,FALSE
Florida,Levy County,Rocky De La Fuente,ALI,14,FALSE
Florida,Levy County,Don Blankenship,CST,13,FALSE
Florida,Levy County,Gloria La Riva,PSL,7,FALSE
Florida,Levy County, Write-ins,WRI,1,FALSE
Florida,Liberty County,Donald Trump,REP,2846,TRUE
Florida,Liberty County,Joe Biden,DEM,694,FALSE
Florida,Liberty County,Jo Jorgensen,LIB,14,FALSE
Florida,Liberty County,Rocky De La Fuente,ALI,2,FALSE
